,Restaurant Name,Distance to Food Bank(mi),Review Count,Price Tag
0,JOEY DTLA,0.379mi,773,NaN
1,Nina’s Cafe Bar,0.444mi,29,$$
2,Nina's Cafe,0.476mi,485,$$
3,Ying Hana Teriyaki,0.483mi,3,NaN
4,Wurstküche,0.776mi,8277,$$
5,Z's Place,0.858mi,89,$$
6,Tire Shop Taqueria,0.861mi,451,$
7,Little Trattoria 25,0.898mi,176,$$
8,Granny's Kitchen,1.251mi,327,$$
9,Bestia,1.274mi,6077,$$$
10,The Green Olive,1.317mi,66,$$
11,Avila's El Ranchito Mexican Restaurant,1.317mi,617,$$
12,Dave's Hot Chicken,1.356mi,59,$$
13,Hana Teppanyaki,1.362mi,26,NaN
14,9th St Ramen,1.425mi,2,NaN
15,Delicious At The Dunbar,1.471mi,58,$$
16,Super Tortas DF,1.488mi,154,$
17,un solo sol,1.607mi,614,$$
18,Shekarchi Restaurant,1.619mi,547,$$
19,The Ricans Food,1.79mi,3,NaN
20,Rays BBQ,1.801mi,754,$$
21,Perch,1.917mi,7660,$$$
22,The Stanton DTLA,1.925mi,51,$$
23,Street Kabbob Eastla,1.946mi,1,NaN
24,El Buca Restaurant,1.962mi,16,$
25,Rajas con Crema,1.992mi,83,$$
26,Beyond Vegan,2.126mi,4,NaN
27,BROKEN MOUTH | Lee's Homestyle,2.138mi,777,$$
28,Dirt Dog,2.193mi,2004,$
29,Q's Chicken,2.349mi,101,NaN
30,Denim The Eatery,2.382mi,127,$$
31,New Time Noodles,2.384mi,18,NaN
32,Mano Po,2.477mi,7,NaN
33,Bavel,2.61mi,1278,$$$
34,Gabo Crepes,2.629mi,22,$
35,Howlin' Ray's,2.697mi,6150,$$
36,Cafe Dulce Vernon,2.735mi,51,NaN
37,La Carreta,2.74mi,169,$
38,Jersey Mike's Subs,2.806mi,65,$
39,SamSik E,2.844mi,6,NaN
40,Jade Siam Restaurants,2.895mi,388,$$
41,The Burrow,2.919mi,258,$$
42,Little Sister,2.941mi,1560,$$
43,Los Amigos Restaurant Salvadoreno,3.0mi,4,$
44,Otium,3.261mi,2007,$$$
45,H&H Brazilian Steakhouse,3.318mi,354,NaN
46,Patel's Kitchen,3.711mi,3,NaN
47,Thirty5 Degrees,3.848mi,217,$
48,Trattoria 25 Restaurant,4.339mi,239,$$
49,Burmese Please,4.98mi,1,NaN
