Latitude,Longitude,Supermarket,Address,Rating,Review,Price
33.9884528446097,-118.258182071149,Northgate Market,944 E Slauson Ave,3.5,48,$
34.0458759668836,-118.257620123204,Whole Foods Market,788 S Grand Ave,3.5,615,$$
34.0456704953933,-118.260824630019,Ralphs,645 W 9th St,3.5,502,$$
34.050194,-118.242272,Marukai Market,123 S Onizuka St,4.0,444,$$
34.026096,-118.284665,Trader Joe's,3131 S Hoover St,4.0,82,$$
33.9646911621094,-118.223983764648,Northgate Market,2633 Santa Ana St,2.5,55,$
34.0447288108421,-118.239063525979,Little Tokyo Market Place,333 S Alameda St,3.5,259,$$
34.052344,-118.308386,Galleria Market,3250 W Olympic Blvd,4.0,241,$$
33.982618,-118.251546,El Super,1301 E Gage Ave,1.5,29,$$
33.97331,-118.24699,Superior Grocers,7316 Compton Ave,2.5,12,$
34.06273,-118.30946,H Mart - Los Angeles I,621 S. Western Ave.,3.5,203,$$
34.0320237174903,-118.290662739486,Ralphs,2600 S Vermont Ave,3.0,173,$$
34.045259,-118.232425,Grow DTLA,300 S Santa Fe Ave,4.0,56,$$
33.997,-118.22859,Wang Globalnet,2465 Fruitland Ave,2.5,3,
33.98672,-118.18707,Food 4 Less,4400 Slauson Ave,3.5,14,$$
34.0489764,-118.2397023,Nijiya Market - Little Tokyo,124 Japanese Village Plz Mall,4.0,265,$$
34.0415781,-118.205309,Food 4 Less,2750 E 1st St,3.0,46,$
34.047353,-118.262499,Smart & Final Extra!,845 S Figueroa St,4.0,84,$
34.074117,-118.308917,HanKook Supermarket,124 North Western Ave,4.0,197,$$
34.031364440918,-118.237701416016,Canton Food,750 S Alameda St,4.5,57,$$
34.022821,-118.292266,Smart & Final,3607 S Vermont Ave,4.0,27,$
34.0039,-118.20219,Big Saver Foods,4260 Charter St,2.5,2,$
34.00892,-118.28742,Sam's Market,4103 S Hoover St,3.5,2,
34.047715,-118.250111,Downtown Los Angeles Farmer's Market,650 W 5th St,4.0,26,$
34.063959595698,-118.238793,Ai Hoa Market,860 N Hill St,3.0,68,$
33.9455311140525,-118.144475549704,Albertsons,7676 Firestone Blvd,3.5,57,$$
34.06316,-118.23256,LAX-C,1100 N Main St,3.5,155,$
34.053935,-118.263727,Grocery Outlet Bargain Market,1120 W 6th St,4.0,47,$
33.9889963,-118.2933083,El Super,1100 W Slauson Ave,2.0,35,$
33.9442329406738,-118.19864654541,Lucky,4155 Tweedy Blvd,2.0,45,$$
34.040254,-118.213061,Northgate Market,425 S Soto St,3.0,41,$$
34.07971,-118.26134,Vons,1342 N Alvarado St,2.5,126,$$
33.9888751,-118.329594,Ralphs,3300 W Slauson Ave,3.0,30,$$
33.9443721,-118.1416874,Stater Bros. Markets,7814 Firestone Blvd,3.5,71,$$
34.0520668029785,-118.293182373047,Hannam Chain Supermarket,2740 W Olympic Blvd,3.5,192,$$
33.97549,-118.23064,Dos Toros Carniceria,7029 Santa Fe Ave,4.5,59,$$
33.96893,-118.18714,Superior Grocers,7300 Atlantic Ave,1.5,16,$
33.974243,-118.18827,Northgate Market,6801 S Atlantic Ave,2.5,38,$$
34.06579,-118.29108,Galleria Market,440 S Vermont Ave,3.5,170,$$
34.020625,-118.286108,Seeds Marketplace,3607 Trousdale Pkwy,3.5,90,$$
34.0525196,-118.2826615,Northgate Market,2323 W Olympic Blvd,3.5,74,$$
34.052237,-118.308515,Koreatown Galleria,3250 W Olympic Blvd,4.0,279,$$
34.0908199297417,-118.305812183711,Artsakh Produce,5345 Santa Monica Blvd,5.0,1,
34.027744,-118.200093,Vallarta Supermarkets,3425 Whittier Blvd,2.5,25,$$
33.9246253967285,-118.291046142578,Ralphs,11922 S Vermont Ave,3.0,35,$$
33.9940634132591,-118.219970697623,World Variety Produce | Melissa's Produce,5325 S Soto St,3.5,7,$$$
34.043313,-118.2403397,Los Angeles Fish Company,420 Stanford Ave,4.5,95,$$
34.0777350433413,-118.257853327657,Lassens Natural Foods & Vitamins,1631 W Sunset Blvd,3.0,213,$$
34.01123,-118.29328,Super Mercado Latino Mkt,1049 W. Martin Luther King Jr. Blvd,3.5,8,$
34.0657662051735,-118.308519087732,California Market,450 S Western Ave,3.5,128,$$
